AT,V,AP,RH,PE_pred
22.49,58.82,1009.73,85.19,445.47
28.88,54.89,1007.16,46.6,438.99
27.89,73.21,1001.32,85.88,432.42
25.69,62.26,1011.38,74.08,442.41
12.16,40.81,1025.79,70.97,465.59
22.72,62.4,1010.28,80.79,445.47
20.6,60.08,1017.84,75.92,449.94
7.51,41.01,1024.61,97.41,478.06
14.28,39.39,1013.82,77.52,467.77
11.68,40.23,1018.49,83.43,475.75
19.89,44.9,1008.12,67.3,453.98
9.44,43.99,1020.31,98.06,472.5
20.76,58.79,1017.22,78.75,447.14
30.0,61.5,1009.4,48.63,438.69
31.38,70.83,1010.35,47.28,431.23
32.95,67.9,1005.88,45.15,427.94
21.01,58.96,1014.33,61.8,452.22
14.56,53.82,1016.37,64.46,462.08
21.11,69.94,1004.37,84.26,443.77
29.73,73.06,1010.27,84.84,434.2
28.28,68.67,1006.36,69.9,435.03
12.31,40.64,1020.71,94.6,473.09
8.05,40.8,1028.01,89.56,480.75
30.35,77.17,1009.55,63.62,433.83
18.12,43.69,1016.91,52.95,468.32
25.23,58.82,1010.9,70.47,442.41
28.38,64.05,1010.19,71.84,440.16
26.63,73.68,1015.15,85.13,431.44
26.78,52.3,1008.52,61.23,442.22
22.69,58.46,1017.74,75.21,442.38
7.49,39.81,1019.03,87.29,482.63
14.08,40.73,1017.52,91.49,462.66
26.11,70.36,1007.64,70.12,438.65
24.26,61.02,1009.78,76.68,444.04
27.44,66.56,1005.51,69.28,435.03
23.17,62.39,1008.04,89.42,445.94
15.27,38.73,1002.83,77.77,468.07
12.1,44.77,1019.1,75.85,469.22
26.73,77.95,1012.31,78.35,435.36
11.49,35.76,1019.08,60.04,472.22
19.64,46.33,1013.33,98.99,453.56
21.12,47.24,1003.79,70.55,456.47
8.03,37.8,1020.47,60.67,481.05
31.18,74.34,1003.81,63.59,434.24
18.15,45.01,1013.06,72.4,453.77
24.14,63.21,1012.28,89.08,442.39
19.1,56.53,1020.18,76.38,457.29
21.27,57.5,1014.53,80.76,452.02
18.2,45.01,1013.82,68.14,453.77
17.8,46.48,1007.27,81.31,456.3
10.59,41.93,1017.7,92.91,476.67
19.69,56.65,1020.79,66.94,457.26
13.41,40.89,1010.85,89.61,471.82
17.37,41.23,998.79,68.44,461.28
14.09,44.47,1029.08,72.36,467.74
26.94,62.91,1011.68,41.3,443.58
31.87,70.94,1006.94,50.78,432.3
20.75,60.77,1017.91,86.06,448.41
12.56,43.41,1016.93,81.02,471.35
11.08,38.16,1014.45,74.99,474.0
23.62,68.63,1013.18,50.57,448.04
27.01,71.25,1000.46,87.95,431.48
19.48,39.72,1001.75,55.41,456.63
21.11,58.49,1011.6,80.44,452.02
29.22,72.39,1000.87,77.39,429.77
22.35,65.61,1016.27,73.93,449.53
10.11,42.49,1010.22,82.11,477.98
25.82,61.08,1013.64,66.4,442.41
17.72,48.14,1013.26,65.09,455.85
19.13,50.78,1008.51,87.54,446.9
29.01,66.44,1011.21,71.56,435.61
16.14,44.21,1020.36,80.59,461.2
14.64,42.77,1017.59,79.6,464.42
23.08,74.78,1009.85,83.67,439.48
13.97,41.16,1020.88,74.88,464.43
16.74,41.16,1006.87,74.24,464.61
22.51,59.21,1018.35,71.97,442.38
13.32,43.22,1009.45,75.3,471.35
19.09,66.51,1015.11,76.38,456.06
19.51,44.05,1008.52,78.38,452.6
31.74,72.25,1012.21,41.62,436.69
13.73,41.78,1011.75,49.65,465.05
19.78,54.42,1011.74,89.34,455.45
21.19,58.86,1014.19,68.96,447.14
5.65,40.72,1022.46,85.17,487.12
17.9,48.98,1014.17,80.4,453.77
18.4,43.69,1016.59,52.44,465.39
17.51,39.54,1010.22,71.53,461.28
6.84,41.06,1021.04,89.59,487.78
11.05,40.71,1024.91,76.42,478.14
17.01,49.15,1021.83,84.02,458.64
29.83,62.66,1007.98,47.07,438.69
21.39,64.27,1011.71,95.39,447.12
8.77,40.46,1019.68,77.84,476.84
6.34,40.64,1020.62,94.39,482.66
26.35,69.48,1008.45,70.47,433.52
11.78,39.96,1011.37,82.95,475.75
5.62,41.38,1020.91,86.21,491.17
24.96,74.99,1008.25,80.52,436.04
9.48,40.8,1023.82,78.98,481.32
